,,,,,,Hosts:,,,,,,,,,,,,,,,,,,,,,,
WEEK #,Holiday,Date of Holiday,Date,Total # of Sandwiches,,"ALPHARETTA ( Karen, Nancy, Carrey, Kelly, Jason)",PREVIOUS BUCKHEAD,PREVIOUS OAK GROVE,"DUNWOODY/PTC (Marcy, Lisa, Darren, Renee, Suzanna, Sonika, Tracie)","E COBB/ROSWELL (Natalie, Silke, Vicki, Rachel, Judy, Jenny)",DECATUR (Sonika),"P'TREE CORNERS (Elaine, Renee V, Susannah, Tracie)",UGA/Athens,"SANDY SPRINGS (Allison, Jen, Terri, Sarah, Kate)","INTOWN/DRUID HILLS (Laura, Jordan, Angie, Della, Julie, Ashley)",SNELLVILLE,GROUPS,Previous Woodstock,Previous Lenox/Brookhaven,Previous New Chastain,Previous Glenwood Park,FLOWERY BRANCH (Kristina),"GROUPS
(Numbers displayed only when not included in a host's count)",TOTAL,NOTES,VALID WEEK?,,
2,,,4/22/2020,317,,,,,,,,,,,,,,,,,,,,,,TRUE,,
3,,,4/29/2020,530,,,,,,,,,,,,,,,,,,,,,,TRUE,,90-[p?
4,,,5/6/2020,290,,,,,,,,,,,,,,,,,,,,,,TRUE,,
5,,,5/13/2020,430,,,,,,,,,,,,,,,,,,,,,,TRUE,,
6,,,5/20/2020,581,,,,,,,,,,,,,,,,,,,,,,TRUE,,
7,,,5/27/2020,432,,,,,,,,,,,,,,,,,,,,,,TRUE,,
8,,,6/3/2020,780,,,,,,,,,,,,,,,,,,,,,,TRUE,,
9,,,6/10/2020,939,,,,,,,,,,,,,,,,,,,,,,TRUE,,
10,,,6/17/2020,995,,,,,,,,,,,,,,,,,,,,,,TRUE,,
11,,,6/24/2020,1177,,,,,,,,,,,,,,,,,,,,,,TRUE,,
12,,,7/1/2020,626,,,,,,,,,,,,,,,,,,,,,,TRUE,,
13,,,7/8/2020,866,,,,,,,,,,,,,,,,,,,,,,TRUE,,
14,,,7/15/2020,1231,,,,,,,,,,,,,,,,,,,,,,TRUE,,
15,,,7/22/2020,1195,,,,,,,,,,,,,,,,,,,,,,TRUE,,
16,,,7/29/2020,991,,,,,,,,,,,,,,,,,,,,,,TRUE,,
17,,,8/5/2020,953,,,,,,,,,,,,,,,,,,,,,,TRUE,,
18,,,8/12/2020,752,,,,,,,,,,,,,,,,,,,,,,TRUE,,
19,,,8/19/2020,1114,,,,,,,,,,,,,,,,,,,,,,TRUE,,
20,,,8/26/2020,965,,,,,,,,,,,,,,,,,,,,,,TRUE,,
21,,,9/2/2020,813,,,,,,,,,,,,,,,,,,,,,,TRUE,,
22,,,9/9/2020,1361,,,,,,,,,,,,,,,,,,,,,,TRUE,,
