WEEK #,Holiday,Date of Holiday,Date,Total # of Sandwiches,Column 1,"ALPHARETTA (Karen, Nancy, Carrey, Kelly, Jason)",PREVIOUS BUCKHEAD,PREVIOUS OAK GROVE,"DUNWOODY/PTC (Marcy, Lisa, Darren, Renee, Suzanna, Sonika, Tracie)","E COBB / ROSWELL (Natalie, Silke, Vicki, Rachel, Judy, Jenny)",DECATUR (Sonika),"P'TREE CORNERS (Elaine, Renee V, Susannah, Tracie)",UGA/Athens,"SANDY SPRINGS (Allison, Jen, Terri, Sarah, Kate)","INTOWN / DRUID HILLS (Laura, Jordan, Angie, Della, Julie, Ashley)",SNELLVILLE,GROUPS,Previous Woodstock,Previous Lenox/Brookhaven,Previous New Chastain,Previous Glenwood Park,FLOWERY BRANCH (Kristina),"GROUPS
(Numbers displayed only when not included in a host's count)",TOTAL,NOTES,VALID WEEK?
1.0,,,2020-04-22,317,,,,,,,,,,,,,,,,,,,,,,1.0
2.0,,,2020-04-29,530,,,,,,,,,,,,,,,,,,,,,,1.0
3.0,,,2020-05-06,290,,,,,,,,,,,,,,,,,,,,,,1.0
4.0,,,2020-05-13,430,,,,,,,,,,,,,,,,,,,,,,1.0
5.0,,,2020-05-20,581,,,,,,,,,,,,,,,,,,,,,,1.0
6.0,,,2020-05-27,432,,,,,,,,,,,,,,,,,,,,,,1.0
7.0,,,2020-06-03,780,,,,,,,,,,,,,,,,,,,,,,1.0
8.0,,,2020-06-10,939,,,,,,,,,,,,,,,,,,,,,,1.0
9.0,,,2020-06-17,995,,,,,,,,,,,,,,,,,,,,,,1.0
10.0,,,2020-06-24,1177,,,,,,,,,,,,,,,,,,,,,,1.0
11.0,,,2020-07-01,626,,,,,,,,,,,,,,,,,,,,,,1.0
12.0,,,2020-07-08,866,,,,,,,,,,,,,,,,,,,,,,1.0
13.0,,,2020-07-15,1231,,,,,,,,,,,,,,,,,,,,,,1.0
14.0,,,2020-07-22,1195,,,,,,,,,,,,,,,,,,,,,,1.0
15.0,,,2020-07-29,991,,,,,,,,,,,,,,,,,,,,,,1.0
16.0,,,2020-08-05,953,,,,,,,,,,,,,,,,,,,,,,1.0
17.0,,,2020-08-12,752,,,,,,,,,,,,,,,,,,,,,,1.0
18.0,,,2020-08-19,1114,,,,,,,,,,,,,,,,,,,,,,1.0
19.0,,,2020-08-26,965,,,,,,,,,,,,,,,,,,,,,,1.0
20.0,,,2020-09-02,813,,,,,,,,,,,,,,,,,,,,,,1.0
21.0,,,2020-09-09,1361,,,,,,,,,,,,,,,,,,,,,,1.0
22.0,,,2020-09-16,1269,,,,,,,,,,,,,,,,,,,,,,1.0
23.0,,,2020-09-23,1316,,,,,,,,,,,,,,,,,,,,,,1.0
24.0,,,2020-09-30,1684,,,,,,,,,,,,,,,,,,,,,,1.0
