Week_Number,Date,Total_Sandwiches,Loc_Column,Loc_ALPHARETTA,Loc_DUNWOODY/PTC,Loc_E,Loc_DECATUR,Loc_P'TREE,Loc_UGA/Athens,Loc_SANDY,Loc_INTOWN,Loc_SNELLVILLE,Loc_FLOWERY,Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8
1,2020-04-22 00:00:00,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-04-29 00:00:00,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2020-05-06 00:00:00,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2020-05-13 00:00:00,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-05-20 00:00:00,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2020-05-27 00:00:00,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2020-06-03 00:00:00,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020-06-10 00:00:00,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020-06-17 00:00:00,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020-06-24 00:00:00,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020-07-01 00:00:00,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2020-07-08 00:00:00,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2020-07-15 00:00:00,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2020-07-22 00:00:00,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2020-07-29 00:00:00,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2020-08-05 00:00:00,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2020-08-12 00:00:00,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2020-08-19 00:00:00,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2020-08-26 00:00:00,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2020-09-02 00:00:00,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2020-09-09 00:00:00,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2020-09-16 00:00:00,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2020-09-23 00:00:00,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2020-09-30 00:00:00,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2020-10-07 00:00:00,1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2020-10-14 00:00:00,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2020-10-21 00:00:00,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2020-10-28 00:00:00,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2020-11-04 00:00:00,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2020-11-11 00:00:00,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2020-11-18 00:00:00,3159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
