Organization,Phone,Address,Weekly Estimate,Sandwich Type,Email,TSP Contact
Boys and Girls Club,404-516-0938,Downtown (west side),100,turkey,kevin.johnson@uss.salvationarmy.org,Vicki
Community Assistance Center ,954-350-2756,Sandy Springs,200,deli only,gretty.figueroa@ourcac.org,Vicki
Cross Cultural Ministries,404-790-0459 (offcie),Dunwoody (Karen),,,,Lisa
Focus Recovery (Veterans Program),404-247-6447,Dunwoody (Karen),,,,Lisa
Gateway Center,404-215-6651,Downtown ,700 -1000+,deli (will take pbj if necessary),dbenton@gatewatctr.org,Marcy
Giving Grace /Remerge,678-437-2024 (main),Dunwoody (Karen),100,pb&j,,Marcy
Hope Atlanta,,Midtown (Ponce/Boulevard) ,,,aolvey@hopeatlanta.org,
Intown Cares,,Midtown (Ponce/Boulevard) ,,,Laura.DeGroot@intowncares.org ,Laura/Jordan
Lettum Eat ,850-381-5936,Snellville ,,,info@lettumeat.com,Veronica
Melody (City of Atlanta/Hope Atlanta),470-233-2362/404-817-7070,Downtown,120,60 deli & 60 pbj,rland@hopeatlanta.org,Angie/Laura/Jordan/Marcy
Omega Support Center,770-362-6627,Tucker,,,omegaservesall@gmail.com,Jordan/Laura
St. Vincent de Paul (Outreach Program),,Chamblee,500+,deli (will take pbj),aseeley@svdpgeorgia.org,Marcy/Jordan
The Elizabeth Foundation,404-468-6503/770-362-6627,Buckhead,,,tracy@elizabethfoundation.org,Jordan/Laura/Marcy
The Shrine of The Immaculate Conception ,404-840-6267,Downtown,500 (varies) ,deli and want pbj weekly,tilla@catholicshrineatlanta.org,Marcy/Lisa
The Table on Delk ,407-509-2799/ 770-363-3164,Marietta,,,thetableondelk@gmail.com,Vicki
The Zone (Davis Direction Foundation) ,404-437-8522/ 404-219-3011,Marietta,,,daniel.spinney@davisdirection.com,Vicki
Toco Hills Community Alliance,404-375-9875,Toco Hiils/Emory,,,lisa@tocohillsalliance.org,Laura/Jordan
Zaban Paradies Center,770-687-7520/404-872-2915,Midtown,300,deli,rnation@zabanparadiescenter.org,Laura/Marcy/Stephanie/Collective Learning
Eye Believe Foundation,,,1000-3000,any,,
Consistent But Not Weekly Recipients,,,,,,
True Worship / Angie's Kitchen,404-287-8292 / 678-973-8798,,as requested consistently,,helen@angieskitchen.org,Henry/Vicki
City of Atlanta Mayor's Office Initiative,404-215-6600/404-235-8720,,by request consistently,,chchu@atlantaga.gov,Marcy/Vicki
Operation Peace,404-347-4040,,as needed consistently ,,opeace@bellsouth.net,
The Goodman Group,757-338-2668,,as requested (often),,thegoodmangrouporg@gmail.com,Vicki
