ID,Host Name,Individual Sandwiches,Collection Date,Group Collections,Submitted At
2847,"Collective Learning",300,"2025-06-11","[]","6/14/2025, 12:28:11 AM"
2822,"Dunwoody/PTC",1251,"2025-06-11","","6/13/2025, 11:20:54 PM"
2828,"Groups",4259,"2025-06-11","[]","6/13/2025, 11:44:51 PM"
2825,"Flowery Branch",258,"2025-06-11","","6/13/2025, 11:21:57 PM"
2824,"Sandy Springs",203,"2025-06-11","","6/13/2025, 11:21:40 PM"
2823,"East Cobb/Roswell",1186,"2025-06-11","","6/13/2025, 11:21:24 PM"
2821,"Alpharetta",2964,"2025-06-11","","6/13/2025, 11:20:28 PM"
2816,"Dunwoody/PTC",1188,"2025-06-04","","6/13/2025, 11:14:01 PM"
2818,"Sandy Springs",134,"2025-06-04","","6/13/2025, 11:14:41 PM"
2817,"East Cobb/Roswell",2059,"2025-06-04","","6/13/2025, 11:14:21 PM"
2815,"Alpharetta",2767,"2025-06-04","","6/13/2025, 11:13:17 PM"
2820,"Collective Learning",250,"2025-06-04","","6/13/2025, 11:20:04 PM"
2819,"Flowery Branch",689,"2025-06-04","","6/13/2025, 11:15:05 PM"
2846,"Collective Learning",250,"2025-06-04","[]","6/14/2025, 12:28:11 AM"
2845,"Collective Learning",250,"2025-05-29","[]","6/14/2025, 12:28:11 AM"
2810,"Alpharetta",1575,"2025-05-28","[]","6/8/2025, 1:06:09 PM"
2811,"Intown/Druid Hills",832,"2025-05-28","[]","6/8/2025, 1:06:09 PM"
2807,"Intown/Druid Hills",516,"2025-05-21","[]","6/8/2025, 1:06:09 PM"
2804,"Dunwoody/PTC",1783,"2025-05-21","[]","6/8/2025, 1:06:09 PM"
2844,"Collective Learning",50,"2025-05-21","[]","6/14/2025, 12:28:11 AM"
2809,"Groups - Main",0,"2025-05-21","[{"groupName":"Unnamed Groups","sandwichCount":4810}]","6/8/2025, 1:06:09 PM"
2808,"Flowery Branch",285,"2025-05-21","[]","6/8/2025, 1:06:09 PM"
2803,"Alpharetta",1219,"2025-05-21","[]","6/8/2025, 1:06:09 PM"
2805,"East Cobb/Roswell",908,"2025-05-21","[]","6/8/2025, 1:06:09 PM"
2806,"Sandy Springs",644,"2025-05-21","[]","6/8/2025, 1:06:09 PM"
2800,"Intown/Druid Hills",921,"2025-05-14","[]","6/8/2025, 1:06:08 PM"
2797,"Dunwoody/PTC",2316,"2025-05-14","[]","6/8/2025, 1:06:08 PM"
2798,"East Cobb/Roswell",726,"2025-05-14","[]","6/8/2025, 1:06:08 PM"
2801,"Flowery Branch",298,"2025-05-14","[]","6/8/2025, 1:06:08 PM"
2843,"Collective Learning",50,"2025-05-14","[]","6/14/2025, 12:28:11 AM"
2796,"Alpharetta",2520,"2025-05-14","[]","6/8/2025, 1:06:08 PM"
2802,"Groups - Main",0,"2025-05-14","[{"groupName":"Unnamed Groups","sandwichCount":1800}]","6/8/2025, 1:06:08 PM"
2799,"Sandy Springs",631,"2025-05-14","[]","6/8/2025, 1:06:08 PM"
2795,"Groups - Main",0,"2025-05-07","[{"groupName":"Unnamed Groups","sandwichCount":800}]","6/8/2025, 1:06:08 PM"
2789,"Alpharetta",2396,"2025-05-07","[]","6/8/2025, 1:06:08 PM"
2842,"Collective Learning",50,"2025-05-07","[]","6/14/2025, 12:28:11 AM"
2791,"East Cobb/Roswell",1052,"2025-05-07","[]","6/8/2025, 1:06:08 PM"
2792,"Sandy Springs",599,"2025-05-07","[]","6/8/2025, 1:06:08 PM"
2793,"Intown/Druid Hills",853,"2025-05-07","[]","6/8/2025, 1:06:08 PM"
2794,"Flowery Branch",262,"2025-05-07","[]","6/8/2025, 1:06:08 PM"
2790,"Dunwoody/PTC",2607,"2025-05-07","[]","6/8/2025, 1:06:08 PM"
2788,"Groups - Main",0,"2025-04-30","[{"groupName":"Unnamed Groups","sandwichCount":2050}]","6/8/2025, 1:06:07 PM"
2786,"Intown/Druid Hills",1198,"2025-04-30","[]","6/8/2025, 1:06:07 PM"
2784,"East Cobb/Roswell",915,"2025-04-30","[]","6/8/2025, 1:06:07 PM"
2787,"Flowery Branch",398,"2025-04-30","[]","6/8/2025, 1:06:07 PM"
2782,"Alpharetta",618,"2025-04-30","[]","6/8/2025, 1:06:07 PM"
2783,"Dunwoody/PTC",2032,"2025-04-30","[]","6/8/2025, 1:06:07 PM"
2841,"Collective Learning",50,"2025-04-30","[]","6/14/2025, 12:28:11 AM"
2785,"Sandy Springs",744,"2025-04-30","[]","6/8/2025, 1:06:07 PM"
2781,"Groups - Main",0,"2025-04-23","[{"groupName":"Unnamed Groups","sandwichCount":3040}]","6/8/2025, 1:06:07 PM"
2777,"East Cobb/Roswell",1122,"2025-04-23","[]","6/8/2025, 1:06:07 PM"
2776,"Dunwoody/PTC",2223,"2025-04-23","[]","6/8/2025, 1:06:07 PM"
2778,"Sandy Springs",527,"2025-04-23","[]","6/8/2025, 1:06:07 PM"
2779,"Intown/Druid Hills",1344,"2025-04-23","[]","6/8/2025, 1:06:07 PM"
2775,"Alpharetta",2244,"2025-04-23","[]","6/8/2025, 1:06:06 PM"
2780,"Flowery Branch",350,"2025-04-23","[]","6/8/2025, 1:06:07 PM"
2840,"Collective Learning",50,"2025-04-23","[]","6/14/2025, 12:28:11 AM"
2839,"Collective Learning",50,"2025-04-16","[]","6/14/2025, 12:28:11 AM"
2773,"Flowery Branch",175,"2025-04-16","[]","6/8/2025, 1:06:06 PM"
2771,"Sandy Springs",1123,"2025-04-16","[]","6/8/2025, 1:06:06 PM"
