Collection Date,Host Name,Individual Sandwiches,Group Collections
2020-04-22,Early Collections - No Location Data,317,
2020-04-29,Early Collections - No Location Data,530,
2020-05-06,Early Collections - No Location Data,290,
2020-05-13,Early Collections - No Location Data,430,
2020-05-20,Early Collections - No Location Data,581,
2020-05-27,Early Collections - No Location Data,432,
2020-06-03,Early Collections - No Location Data,780,
2020-06-10,Early Collections - No Location Data,939,
2020-06-17,Early Collections - No Location Data,995,
2020-06-24,Early Collections - No Location Data,1177,
2020-07-01,Early Collections - No Location Data,626,
2020-07-08,Early Collections - No Location Data,866,
2020-07-15,Early Collections - No Location Data,1231,
2020-07-22,Early Collections - No Location Data,1195,
2020-07-29,Early Collections - No Location Data,991,
2020-08-05,Early Collections - No Location Data,953,
2020-08-12,Early Collections - No Location Data,752,
2020-08-19,Early Collections - No Location Data,1114,
2020-08-26,Early Collections - No Location Data,965,
2020-09-02,Early Collections - No Location Data,813,
2020-09-09,Early Collections - No Location Data,1361,
2020-09-16,Early Collections - No Location Data,1269,
2020-09-23,Early Collections - No Location Data,1316,
2020-09-30,Early Collections - No Location Data,1684,
2020-10-07,Early Collections - No Location Data,1414,
2020-10-14,Early Collections - No Location Data,943,
2020-10-21,Early Collections - No Location Data,1364,
2020-10-28,Early Collections - No Location Data,1454,
2020-11-04,Early Collections - No Location Data,1474,
2020-11-11,Early Collections - No Location Data,2595,
2020-11-18,Early Collections - No Location Data,3159,
2020-11-25,Early Collections - No Location Data,2518,
2020-12-02,Early Collections - No Location Data,1511,
2020-12-09,Early Collections - No Location Data,1365,
2020-12-16,Early Collections - No Location Data,1762,
2020-12-23,Early Collections - No Location Data,1481,
2020-12-30,Early Collections - No Location Data,2311,
2021-01-06,Early Collections - No Location Data,1841,
2021-01-13,Early Collections - No Location Data,1912,
2021-01-20,Early Collections - No Location Data,2865,
2021-01-27,Early Collections - No Location Data,3109,
2021-02-03,Early Collections - No Location Data,4711,
2021-02-10,Early Collections - No Location Data,3840,
2022-02-17,Early Collections - No Location Data,5418,
2021-02-24,Early Collections - No Location Data,6030,
2021-03-03,Early Collections - No Location Data,5186,
2021-03-10,Early Collections - No Location Data,3989,
2021-03-17,Early Collections - No Location Data,4052,
2021-03-24,Early Collections - No Location Data,4865,
2021-03-31,Early Collections - No Location Data,4225,
2021-04-07,Early Collections - No Location Data,5442,
2021-04-14,Early Collections - No Location Data,7241,
2021-04-21,Early Collections - No Location Data,10085,
2021-04-28,Early Collections - No Location Data,9454,
2021-05-05,Early Collections - No Location Data,6715,
2021-05-12,Early Collections - No Location Data,8579,
2021-05-19,Early Collections - No Location Data,5475,
2021-05-26,Early Collections - No Location Data,4063,
2021-06-02,Early Collections - No Location Data,10085,
2021-06-09,Early Collections - No Location Data,9454,
2021-06-16,Early Collections - No Location Data,6715,
2021-06-23,Early Collections - No Location Data,8579,
2021-06-30,Early Collections - No Location Data,5475,
2021-07-07,Early Collections - No Location Data,4063,
2021-07-14,Early Collections - No Location Data,4198,
2021-07-21,Early Collections - No Location Data,5372,
2021-07-28,Early Collections - No Location Data,6175,
2021-08-04,Early Collections - No Location Data,5764,
2021-08-11,Early Collections - No Location Data,6847,
2021-08-18,Early Collections - No Location Data,5245,
2021-08-25,Early Collections - No Location Data,4780,
2021-09-01,Early Collections - No Location Data,4568,
2021-09-08,Early Collections - No Location Data,3989,
2021-09-15,Alpharetta,600,
2021-09-15,Previous Oak Grove,451,
2021-09-15,Dunwoody PTC,1989,
2021-09-15,E Cobb Roswell,1071,
2021-09-15,Peachtree Corners,160,
2021-09-15,Sandy Springs,419,
2021-09-22,Alpharetta,790,
2021-09-22,Previous Oak Grove,48,
2021-09-22,Dunwoody PTC,2008,
2021-09-22,E Cobb Roswell,988,
2021-09-22,Decatur,30,
2021-09-22,Peachtree Corners,99,
2021-09-22,Sandy Springs,425,
2021-09-29,Alpharetta,594,
2021-09-29,Previous Buckhead,273,
2021-09-29,Previous Oak Grove,60,
2021-09-29,Dunwoody PTC,1865,
2021-09-29,E Cobb Roswell,1855,
2021-09-29,Peachtree Corners,114,
2021-09-29,Sandy Springs,127,
2021-10-06,Alpharetta,651,
2021-10-06,Previous Oak Grove,120,
2021-10-06,Dunwoody PTC,2225,
2021-10-06,E Cobb Roswell,866,
2021-10-06,Peachtree Corners,126,
2021-10-06,Sandy Springs,660,
2021-10-13,Alpharetta,509,
2021-10-13,Previous Oak Grove,72,
2021-10-13,Dunwoody PTC,1522,
2021-10-13,E Cobb Roswell,1328,
2021-10-13,Decatur,9,
2021-10-13,Peachtree Corners,266,
2021-10-13,Sandy Springs,210,
2021-10-20,Alpharetta,1005,
2021-10-20,Previous Oak Grove,40,
2021-10-20,Dunwoody PTC,1874,
2021-10-20,E Cobb Roswell,1218,
2021-10-20,Peachtree Corners,188,
2021-10-20,Sandy Springs,598,
2021-10-27,Alpharetta,1043,
2021-10-27,Previous Oak Grove,308,
2021-10-27,Dunwoody PTC,2806,
2021-10-27,E Cobb Roswell,1229,
2021-10-27,Peachtree Corners,130,
2021-10-27,Sandy Springs,285,
2021-11-03,Alpharetta,1247,
2021-11-03,Previous Oak Grove,112,
2021-11-03,Dunwoody PTC,2555,
2021-11-03,E Cobb Roswell,2144,
2021-11-03,Peachtree Corners,184,
2021-11-03,Sandy Springs,500,
2021-11-10,Alpharetta,851,
2021-11-10,Previous Oak Grove,122,
2021-11-10,Dunwoody PTC,3728,
2021-11-10,E Cobb Roswell,1231,
2021-11-10,Peachtree Corners,245,
2021-11-10,Sandy Springs,373,
2021-11-17,Alpharetta,777,
2021-11-17,Previous Oak Grove,82,
2021-11-17,Dunwoody PTC,3517,
2021-11-17,E Cobb Roswell,1180,
2021-11-17,Decatur,166,
2021-11-17,Peachtree Corners,229,
2021-11-17,Sandy Springs,390,
2021-11-22,Alpharetta,939,
2021-11-22,Dunwoody PTC,2720,
2021-11-22,E Cobb Roswell,2204,
2021-11-22,Decatur,10,
2021-11-22,Peachtree Corners,470,
2021-11-22,Sandy Springs,350,
2021-12-01,Alpharetta,540,
2021-12-01,Previous Oak Grove,73,
2021-12-01,Dunwoody PTC,2432,
2021-12-01,E Cobb Roswell,1585,
2021-12-01,Peachtree Corners,166,
2021-12-01,Sandy Springs,386,
2021-12-08,Alpharetta,939,
2021-12-08,Previous Oak Grove,60,
2021-12-08,Dunwoody PTC,2553,
2021-12-08,E Cobb Roswell,1688,
2021-12-08,Decatur,530,
2021-12-08,Peachtree Corners,307,
2021-12-08,Sandy Springs,850,
2021-12-15,Alpharetta,868,
2021-12-15,Previous Oak Grove,103,
