# Sandwich Collections Report
# Generated: 6/30/2025, 4:52:20 AM
# Date Range: Jan 01, 2024 - Dec 31, 2024
# Total Records: 357

# EXECUTIVE SUMMARY
Total Sandwiches,295376
Total Hosts,0
Active Projects,0

# TOP PERFORMERS
Name,Count
"Dunwoody/PTC",80330
"Alpharetta",66595
"East Cobb/Roswell",60996
"Intown/Druid Hills",40786
"Sandy Springs",30560

# DETAILED DATA
id,date,hostName,individualSandwiches,groupCollections,submittedAt
"2660","2024-12-26","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":2000}]","Sun Jun 08 2025 17:05:57 GMT+0000 (Coordinated Universal Time)"
"2659","2024-12-26","Dunwoody/PTC","504","[]","Sun Jun 08 2025 17:05:57 GMT+0000 (Coordinated Universal Time)"
"2657","2024-12-18","Flowery Branch","426","[]","Sun Jun 08 2025 17:05:57 GMT+0000 (Coordinated Universal Time)"
"2655","2024-12-18","Sandy Springs","485","[]","Sun Jun 08 2025 17:05:57 GMT+0000 (Coordinated Universal Time)"
"2654","2024-12-18","East Cobb/Roswell","1706","[]","Sun Jun 08 2025 17:05:57 GMT+0000 (Coordinated Universal Time)"
"2656","2024-12-18","Intown/Druid Hills","922","[]","Sun Jun 08 2025 17:05:57 GMT+0000 (Coordinated Universal Time)"
"2658","2024-12-18","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":5100}]","Sun Jun 08 2025 17:05:57 GMT+0000 (Coordinated Universal Time)"
"2652","2024-12-18","Alpharetta","848","[]","Sun Jun 08 2025 17:05:57 GMT+0000 (Coordinated Universal Time)"
"2653","2024-12-18","Dunwoody/PTC","1342","[]","Sun Jun 08 2025 17:05:57 GMT+0000 (Coordinated Universal Time)"
"2647","2024-12-11","East Cobb/Roswell","1203","[]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2648","2024-12-11","Sandy Springs","667","[]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2650","2024-12-11","Flowery Branch","105","[]","Sun Jun 08 2025 17:05:57 GMT+0000 (Coordinated Universal Time)"
"2645","2024-12-11","Alpharetta","2176","[]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2651","2024-12-11","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":6570}]","Sun Jun 08 2025 17:05:57 GMT+0000 (Coordinated Universal Time)"
"2649","2024-12-11","Intown/Druid Hills","1190","[]","Sun Jun 08 2025 17:05:57 GMT+0000 (Coordinated Universal Time)"
"2646","2024-12-11","Dunwoody/PTC","2226","[]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2638","2024-12-04","Dunwoody/PTC","1643","[]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2644","2024-12-04","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":1500}]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2637","2024-12-04","Alpharetta","1379","[]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2639","2024-12-04","East Cobb/Roswell","1439","[]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2640","2024-12-04","Decatur","54","[]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2641","2024-12-04","Sandy Springs","442","[]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2643","2024-12-04","Flowery Branch","250","[]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2642","2024-12-04","Intown/Druid Hills","1280","[]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2633","2024-11-20","Sandy Springs","1087","[]","Sun Jun 08 2025 17:05:55 GMT+0000 (Coordinated Universal Time)"
"2632","2024-11-20","Decatur","64","[]","Sun Jun 08 2025 17:05:55 GMT+0000 (Coordinated Universal Time)"
"2629","2024-11-20","Alpharetta","3625","[]","Sun Jun 08 2025 17:05:55 GMT+0000 (Coordinated Universal Time)"
"2631","2024-11-20","East Cobb/Roswell","1643","[]","Sun Jun 08 2025 17:05:55 GMT+0000 (Coordinated Universal Time)"
"2635","2024-11-20","Flowery Branch","304","[]","Sun Jun 08 2025 17:05:55 GMT+0000 (Coordinated Universal Time)"
"2630","2024-11-20","Dunwoody/PTC","2378","[]","Sun Jun 08 2025 17:05:55 GMT+0000 (Coordinated Universal Time)"
"2636","2024-11-20","Groups - Main","","[{"groupName":"Unnamed Groups","sandwichCount":6409}]","Sun Jun 08 2025 17:05:56 GMT+0000 (Coordinated Universal Time)"
"2634","2024-11-20","Intown/Druid Hills","861","[]","Sun Jun 08 2025 17:05:55 GMT+0000 (Coordinated Universal Time)"
"2626","2024-11-13","Intown/Druid Hills","437","[]","Sun Jun 08 2025 17:05:55 GMT+0000 (Coordinated Universal Time)"
